n, Section, Task, SectionDistPerc, TaskDistPerc, SectionSortPerc, TaskSortPerc
200,6.417646,6.597765,79.638744,77.464597,20.361256,22.535403
400,12.837422,13.266282,79.620636,77.046733,20.379364,22.953267
600,19.132387,19.821072,79.781348,77.009339,20.218652,22.990661
800,26.677638,27.825384,79.941655,76.644209,20.058345,23.355791
