n, Section, Task, SectionDistPerc, TaskDistPerc, SectionSortPerc, TaskSortPerc
200,12.128853,12.173879,42.138629,41.982777,57.861371,58.017223
400,24.551202,24.350374,41.632329,41.975689,58.367671,58.024311
600,36.635917,36.459640,41.664240,41.865681,58.335760,58.134319
800,51.640448,51.247944,41.298143,41.614442,58.701857,58.385558
