2,5,1,2.609978
3,5,1,2.089542
4,5,1,0.629289
2,5,3,2.426979
3,5,3,1.196352
4,5,3,0.909992
2,5,5,1.889784
3,5,5,1.361877
4,5,5,0.944507
2,5,7,1.447100
3,5,7,1.829340
4,5,7,1.119917
2,5,9,1.783911
3,5,9,1.212821
4,5,9,1.028981
2,5,11,1.577162
3,5,11,1.330168
4,5,11,0.847510
2,5,13,1.290265
3,5,13,1.405067
4,5,13,0.936536
2,5,15,1.463365
3,5,15,1.254182
4,5,15,0.894531
2,5,17,1.527392
3,5,17,1.246808
4,5,17,0.865249
2,5,19,1.392166
3,5,19,1.185944
4,5,19,0.853572
2,5,21,1.408478
3,5,21,1.112638
4,5,21,0.878594
2,5,5,1.825619
3,5,5,1.127585
4,5,5,1.139969
2,10,5,1.655289
3,10,5,1.197544
4,10,5,1.143573
2,15,5,1.630643
3,15,5,1.213267
4,15,5,0.991234
2,20,5,1.616394
3,20,5,1.397094
4,20,5,1.206598
2,25,5,1.642511
3,25,5,1.442625
4,25,5,1.177421
2,30,5,1.578598
3,30,5,1.455431
4,30,5,1.183030
2,35,5,1.600529
3,35,5,1.491127
4,35,5,1.200153
2,40,5,1.499886
3,40,5,1.464209
4,40,5,1.157090
2,45,5,1.550990
3,45,5,1.366710
4,45,5,1.167183
2,50,5,1.520136
3,50,5,1.398049
4,50,5,1.161385
2,55,5,1.436911
3,55,5,1.305521
4,55,5,1.169559
2,60,5,1.479931
3,60,5,1.366229
4,60,5,1.137620
2,65,5,1.453444
3,65,5,1.352581
4,65,5,1.102677
2,70,5,1.442887
3,70,5,1.366424
4,70,5,1.092438
2,75,5,1.455514
3,75,5,1.385436
4,75,5,1.101131
2,80,5,1.462302
3,80,5,1.374517
4,80,5,1.120376
2,85,5,1.436820
3,85,5,1.368874
4,85,5,1.054753
2,90,5,1.449380
3,90,5,1.386586
4,90,5,1.114081
2,95,5,1.431626
3,95,5,1.382983
4,95,5,1.106418
2,100,5,1.414836
3,100,5,1.373691
4,100,5,1.105674
2,5,1,1.962066
3,5,1,1.430286
4,5,1,1.550286
2,5,3,2.307537
3,5,3,1.164990
4,5,3,0.797491
2,5,5,1.915496
3,5,5,1.089899
4,5,5,1.139320
2,5,7,1.725830
3,5,7,1.094972
4,5,7,0.787122
2,5,9,1.681876
3,5,9,1.426244
4,5,9,1.283481
2,5,11,1.590032
3,5,11,1.301969
4,5,11,0.972490
2,5,13,1.287080
3,5,13,1.331699
